codigo_act,nombre_act
115111,Servicios de fumigación agrícola
115119,Otros servicios relacionados con la agricultura
115113,Beneficio de productos agrícolas
112512,"Piscicultura y otra acuicultura, excepto camaronicultura"
114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies"
212321,Minería de arena y grava para la construcción
213111,Perforación de pozos petroleros y de gas
212393,Minería de barita
211111,Extracción de petróleo y gas natural asociado
212392,Minería de piedra de yeso
213119,Otros servicios relacionados con la minería
212325,Minería de caolín
212299,Minería de otros minerales metálicos
212399,Minería de otros minerales no metálicos
212232,Minería de plomo y zinc
211112,Extracción de gas natural no asociado
212222,Minería de plata
212221,Minería de oro
212210,Minería de hierro
221111,Generación de electricidad a partir de combustibles fósiles
221312,"Captación, tratamiento y suministro de agua realizados por el sector público"
221311,"Captación, tratamiento y suministro de agua realizados por el sector privado"
221113,Generación de electricidad a partir de energía solar
221123,Comercialización de energía eléctrica
221121,Transmisión de energía eléctrica
221114,Generación de electricidad a partir de energía eólica
221122,Distribución de energía eléctrica
221210,Suministro de gas natural por ductos al consumidor final
221112,Generación de electricidad a partir de energía hidráulica
221119,Generación de electricidad a partir de otro tipo de energía
237132,Construcción de obras para telecomunicaciones
238110,Trabajos de cimentaciones
236221,"Edificación de inmuebles comerciales y de servicios, excepto la supervisión"
236112,Edificación de vivienda multifamiliar
237312,"Construcción de carreteras, puentes y similares"
238222,Instalaciones de sistemas centrales de aire acondicionado y calefacción
237111,"Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje"
237131,Construcción de obras de generación y conducción de energía eléctrica
238221,Instalaciones hidrosanitarias y de gas
238210,Instalaciones eléctricas en construcciones
238330,Colocación de pisos flexibles y de madera
238311,Colocación de muros falsos y aislamiento
236111,Edificación de vivienda unifamiliar
238130,Trabajos de albañilería
238190,Otros trabajos en exteriores
238320,Trabajos de pintura y otros cubrimientos de paredes
238312,"Trabajos de enyesado, empastado y tiroleado"
238290,Otras instalaciones y equipamiento en construcciones
237212,Construcción de obras de urbanización
236222,Supervisión de edificación de inmuebles comerciales y de servicios
238990,Otros trabajos especializados para la construcción
236211,"Edificación de naves y plantas industriales, excepto la supervisión"
238910,Preparación de terrenos para la construcción
237994,Supervisión de construcción de otras obras de ingeniería civil
237121,Construcción de sistemas de distribución de petróleo y gas
238390,Otros trabajos de acabados en edificaciones
237133,Supervisión de construcción de obras de generación y conducción de energía eléctrica y de obras para telecomunicaciones
237112,Construcción de sistemas de riego agrícola
237313,Supervisión de construcción de vías de comunicación
238350,Realización de trabajos de carpintería en el lugar de la construcción
236113,Supervisión de edificación residencial
238340,Colocación de pisos cerámicos y azulejos
237311,Instalación de señalamientos y protecciones en obras viales
236212,Supervisión de edificación de naves y plantas industriales
237123,Supervisión de construcción de obras para petróleo y gas
237992,"Construcción de obras marítimas, fluviales y subacuáticas"
237122,Construcción de plantas de refinería y petroquímica
238122,Montaje de estructuras de acero prefabricadas
237993,Construcción de obras para transporte eléctrico y ferroviario
237999,Otras construcciones de ingeniería civil
237991,Construcción de presas y represas
237213,Supervisión de división de terrenos y de construcción de obras de urbanización
237113,"Supervisión de construcción de obras para el tratamiento, distribución y suministro de agua, drenaje y riego"
237211,División de terrenos
238121,Montaje de estructuras de concreto prefabricadas
312112,Purificación y embotellado de agua
311830,Elaboración de tortillas de maíz y molienda de nixtamal
311811,Panificación industrial
311922,Elaboración de café tostado y molido
315192,Fabricación de ropa exterior de tejido de punto
311520,Elaboración de helados y paletas
315999,Confección de otros accesorios y prendas de vestir no clasificados en otra parte
315225,Confección de prendas de vestir sobre medida
311214,Elaboración de harina de otros productos agrícolas
315221,Confección en serie de ropa interior y de dormir
311992,Elaboración de levadura
316991,"Fabricación de bolsos de mano, maletas y similares"
314912,Confección de productos de textiles recubiertos y de materiales sucedáneos
313113,Fabricación de hilos para coser y bordar
313310,Acabado de productos textiles
311222,Elaboración de aceites y grasas vegetales comestibles
311930,"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas"
315229,Confección en serie de otra ropa exterior de materiales textiles
314120,"Confección de cortinas, blancos y similares"
314991,"Confección, bordado y deshilado de productos textiles"
311422,Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación
311411,Congelación de frutas y verduras
314992,Fabricación de redes y otros productos de cordelería
311812,Panificación tradicional
311999,Elaboración de otros alimentos
311340,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate"
314110,Fabricación de alfombras y tapetes
311110,Elaboración de alimentos para animales
311423,Conservación de guisos y otros alimentos preparados por procesos distintos a la congelación
311940,Elaboración de condimentos y aderezos
311412,Congelación de guisos y otros alimentos preparados
311511,Elaboración de leche líquida
315223,Confección en serie de uniformes
311513,Elaboración de derivados y fermentos lácteos
311613,"Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles"
311910,Elaboración de botanas
312113,Elaboración de hielo
316219,Fabricación de huaraches y calzado de otro tipo de materiales
311614,Elaboración de manteca y otras grasas animales comestibles
316999,"Fabricación de otros productos de cuero, piel y materiales sucedáneos"
311350,Elaboración de chocolate y productos de chocolate
313220,Fabricación de telas angostas de tejido de trama y pasamanería
316213,Fabricación de calzado de plástico
315222,Confección en serie de camisas
313111,Preparación e hilado de fibras duras naturales
311611,"Matanza de ganado, aves y otros animales comestibles"
315210,"Confección de prendas de vestir de cuero, piel y de materiales sucedáneos"
316110,Curtido y acabado de cuero y piel
311813,Elaboración de tortillas de harina de trigo de forma tradicional
311820,Elaboración de galletas y pastas para sopa
311311,Elaboración de azúcar de caña
314999,Fabricación de banderas y otros productos textiles no clasificados en otra parte
311993,Elaboración de alimentos frescos para consumo inmediato
312149,Elaboración de otras bebidas destiladas
312120,Elaboración de cerveza
315191,Fabricación de ropa interior de tejido de punto
311710,Preparación y envasado de pescados y mariscos
314911,Confección de costales
313210,Fabricación de telas anchas de tejido de trama
313112,Preparación e hilado de fibras blandas naturales
313320,Fabricación de telas recubiertas
313230,Fabricación de telas no tejidas (comprimidas)
314993,Fabricación de productos textiles reciclados
312141,Elaboración de ron y otras bebidas destiladas de caña
315224,Confección en serie de disfraces y trajes típicos
316211,Fabricación de calzado con corte de piel y cuero
312131,Elaboración de bebidas alcohólicas a base de uva
311212,Elaboración de harina de trigo
315991,Confección de sombreros y gorras
311921,Beneficio del café
315110,Fabricación de calcetines y medias de tejido de punto
316212,Fabricación de calzado con corte de tela
311612,"Corte y empacado de carne de ganado, aves y otros animales comestibles"
312142,Elaboración de bebidas destiladas de agave
312222,Elaboración de puros y otros productos de tabaco
312111,Elaboración de refrescos y otras bebidas no alcohólicas
311230,Elaboración de cereales para el desayuno
311991,Elaboración de gelatinas y otros postres en polvo
313240,Fabricación de telas de tejido de punto
311924,Preparación y envasado de té
311512,"Elaboración de leche en polvo, condensada y evaporada"
316214,Fabricación de calzado de hule
311221,Elaboración de féculas y otros almidones y sus derivados
311213,Elaboración de harina de maíz
311319,Elaboración de otros azúcares
311923,Elaboración de café instantáneo
311421,Deshidratación de frutas y verduras
312132,Elaboración de pulque
312221,Elaboración de cigarros
323119,Impresión de formas continuas y otros impresos
327211,Fabricación de vidrio
326160,Fabricación de botellas de plástico
322230,Fabricación de productos de papelería
326193,Fabricación de envases y contenedores de plástico para embalaje con y sin reforzamiento
323120,Industrias conexas a la impresión
325412,Fabricación de preparaciones farmacéuticas
321910,Fabricación de productos de madera para la construcción
325620,"Fabricación de cosméticos, perfumes y otras preparaciones de tocador"
326110,Fabricación de bolsas y películas de plástico flexible
327910,Fabricación de productos abrasivos
326191,Fabricación de productos de plástico para el hogar con y sin reforzamiento
322299,Fabricación de otros productos de cartón y papel
322210,Fabricación de envases de cartón
322220,Fabricación de bolsas de papel y productos celulósicos recubiertos y tratados
327991,Fabricación de productos a base de piedras de cantera
321920,Fabricación de productos para embalaje y envases de madera
326198,Fabricación de otros productos de plástico con reforzamiento
327999,Fabricación de otros productos a base de minerales no metálicos
