ID Centro comercial,tipoCenCom,nom_CenCom,cod_postal
PAISCOYYPACL3940.0,CENTRO Y PLAZA COMERCIAL,PUNTA INSURGENTES,3940.0
nnnn8820.0,,,8820.0
nnnn14010.0,,,14010.0
nnnn15610.0,,,15610.0
nnnn10640.0,,,10640.0
nnnn9310.0,,,9310.0
nnnn8500.0,,,8500.0
CLDEASDELACDDEMOCLDEAO9040.0,CENTRAL DE ABASTO,CENTRAL DE ABASTOS DE LA CIUDAD DE MÉXICO,9040.0
nnnn10910.0,,,10910.0
nnnn6760.0,,,6760.0
nnnn7910.0,,,7910.0
nnnn2150.0,,,2150.0
nnnn1900.0,,,1900.0
nnnn15000.0,,,15000.0
nnnn16880.0,,,16880.0
nnnn12910.0,,,12910.0
nnnn2400.0,,,2400.0
nnnn7100.0,,,7100.0
nnnn8650.0,,,8650.0
nnnn11650.0,,,11650.0
nnnn9225.0,,,9225.0
nnnn4530.0,,,4530.0
SAAAOOCOnan,OTRO CONGLOMERADO,SURINSA A,
SASSEOCLYYDESS1210.0,EDIFICIO COMERCIAL Y DE SERVICIOS,SAMARA SHOPS,1210.0
nnnn1060.0,,,1060.0
nnnn3840.0,,,3840.0
GNCEEOCLYYDESS1210.0,EDIFICIO COMERCIAL Y DE SERVICIOS,GERMAN CENTRE,1210.0
nnnn3100.0,,,3100.0
nnnn11560.0,,,11560.0
nnnn11000.0,,,11000.0
TEPAEOCLYYDESSnan,EDIFICIO COMERCIAL Y DE SERVICIOS,TORRE PRISMA,
nnnnnan,,,
nnnn3600.0,,,3600.0
nnnn1000.0,,,1000.0
nnnn6600.0,,,6600.0
PERAOOCO11000.0,OTRO CONGLOMERADO,PARQUE REFORMA,11000.0
nnnn3710.0,,,3710.0
CLRA20EOCLYYDESSnan,EDIFICIO COMERCIAL Y DE SERVICIOS,CAPITAL REFORMA 250,
CLRA20COYYPACLnan,CENTRO Y PLAZA COMERCIAL,CAPITAL REFORMA 250,
nnnn11529.0,,,11529.0
nnnn11580.0,,,11580.0
TEOXEOCLYYDESS11529.0,EDIFICIO COMERCIAL Y DE SERVICIOS,TORRE ONYX,11529.0
PAMEOOCO11250.0,OTRO CONGLOMERADO,PLAZA MOLIERE,11250.0
LSSVOOCO3103.0,OTRO CONGLOMERADO,LUS SAV,3103.0
nnnn11540.0,,,11540.0
COPSEOCLYYDESS11000.0,EDIFICIO COMERCIAL Y DE SERVICIOS,CARSO PALMAS,11000.0
nnnn1210.0,,,1210.0
COCLPRCOYYPACL4530.0,CENTRO Y PLAZA COMERCIAL,CENTRO COMERCIAL PERISUR,4530.0
nnnn11300.0,,,11300.0
CO22PSCOYYPACL11560.0,CENTRO Y PLAZA COMERCIAL,CORPORATIVO 2 PATIOS,11560.0
RA22EOCLYYDESS6600.0,EDIFICIO COMERCIAL Y DE SERVICIOS,REFORMA 222,6600.0
nnnn6500.0,,,6500.0
CLEOCLYYDESS1219.0,EDIFICIO COMERCIAL Y DE SERVICIOS,CALAKMULL,1219.0
CLEOCLYYDESS1210.0,EDIFICIO COMERCIAL Y DE SERVICIOS,CALAKMULL,1210.0
CLEOCLYYDESS1210.0,EDIFICIO COMERCIAL Y DE SERVICIOS,CLAKMULL,1210.0
CLOOCOnan,OTRO CONGLOMERADO,CALAKMULL,
TEETEOCLYYDESSnan,EDIFICIO COMERCIAL Y DE SERVICIOS,TORRE EJECUT,
PAPOEOCLYYDESS11510.0,EDIFICIO COMERCIAL Y DE SERVICIOS,PLAZA POLANCO,11510.0
nnnn8730.0,,,8730.0
nnnn9230.0,,,9230.0
